  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step     4,096 | Games    104 | WinRate(last100) 61.0% | epLen  39.2 | KL 0.0093
  Step     6,144 | Games    160 | WinRate(last100) 54.0% | epLen  38.1 | KL 0.0102
  Step     8,192 | Games    212 | WinRate(last100) 51.0% | epLen  38.2 | KL 0.0090
  Step    10,240 | Games    264 | WinRate(last100) 55.0% | epLen  39.5 | KL 0.0095
  Step    12,288 | Games    315 | WinRate(last100) 56.0% | epLen  40.1 | KL 0.0086
  Step    14,336 | Games    370 | WinRate(last100) 60.0% | epLen  38.6 | KL 0.0092
  Step    16,384 | Games    422 | WinRate(last100) 61.0% | epLen  38.3 | KL 0.0090
  Step    18,432 | Games    469 | WinRate(last100) 60.0% | epLen  41.3 | KL 0.0082
  Step    20,480 | Games    521 | WinRate(last100) 66.0% | epLen  41.3 | KL 0.0098
  Step    22,528 | Games    568 | WinRate(last100) 72.0% | epLen  41.1 | KL 0.0104
  Step    24,576 | Games    620 | WinRate(last100) 69.0% | epLen  40.9 | KL 0.0096
  Step    26,624 | Games    670 | WinRate(last100) 71.0% | epLen  40.3 | KL 0.0114
  Step    28,672 | Games    719 | WinRate(last100) 76.0% | epLen  41.7 | KL 0.0114
  Step    30,720 | Games    773 | WinRate(last100) 72.0% | epLen  39.5 | KL 0.0108
  Step    32,768 | Games    823 | WinRate(last100) 77.0% | epLen  39.5 | KL 0.0102
  Step    34,816 | Games    874 | WinRate(last100) 83.0% | epLen  40.9 | KL 0.0121
  Step    36,864 | Games    927 | WinRate(last100) 85.0% | epLen  39.5 | KL 0.0140
  Step    38,912 | Games    980 | WinRate(last100) 86.0% | epLen  38.7 | KL 0.0106
  Step    40,960 | Games  1,032 | WinRate(last100) 82.0% | epLen  39.0 | KL 0.0129
  Step    43,008 | Games  1,090 | WinRate(last100) 78.0% | epLen  37.5 | KL 0.0115
  Step    45,056 | Games  1,150 | WinRate(last100) 75.0% | epLen  35.1 | KL 0.0104
  Step    47,104 | Games  1,202 | WinRate(last100) 80.0% | epLen  37.4 | KL 0.0122
  Step    49,152 | Games  1,258 | WinRate(last100) 85.0% | epLen  37.7 | KL 0.0149
  Step    51,200 | Games  1,318 | WinRate(last100) 84.0% | epLen  35.2 | KL 0.0079
  Step    53,248 | Games  1,375 | WinRate(last100) 82.0% | epLen  34.7 | KL 0.0151
  Step    55,296 | Games  1,432 | WinRate(last100) 86.0% | epLen  36.0 | KL 0.0145
  Step    57,344 | Games  1,493 | WinRate(last100) 80.0% | epLen  34.4 | KL 0.0146
  Step    59,392 | Games  1,548 | WinRate(last100) 83.0% | epLen  35.8 | KL 0.0163
