agent,board,magnitude,frequency,seed,label,condition,shift_idx,to_opponent,returns_to_A,shift_at_step,baseline,threshold80,min_rolling,perf_drop,end_rolling,disrupted,recovered,recovery_games,adapt_cost_games,adapt_cost_ksteps,segment_games
ppo,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,0,defensive,1,500219,0.99,0.792,0.72,0.27,0.95,1,1,7,275.14,40.37,6252
ppo,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,1,corner,0,1400561,0.95,0.76,0.94,0.01,0.99,0,1,0,0.61,0.08,6390
ppo,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,2,defensive,1,2300229,0.99,0.792,0.85,0.14,0.99,0,1,0,186.59,28.22,6107
ppo,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,3,corner,0,3200251,0.99,0.792,0.94,0.05,0.99,0,1,0,49.9,6.61,6010
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,0,edge,1,500157,0.98,0.784,0.8,0.18,0.97,0,1,0,52.08,9.52,2127
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,1,corner,0,850201,0.97,0.776,0.85,0.12,0.99,0,1,0,70.93,10.32,2448
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,2,edge,1,1200157,0.99,0.792,0.83,0.16,0.91,0,1,0,73.5,12.55,2174
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,3,corner,0,1550255,0.91,0.728,0.89,0.02,0.92,0,1,0,0.26,0.04,2511
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,4,edge,1,1900247,0.92,0.736,0.84,0.08,0.93,0,1,0,12.91,2.33,2146
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,5,corner,0,2250159,0.93,0.744,0.91,0.02,0.93,0,1,0,1.29,0.18,2461
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,6,edge,1,2600308,0.93,0.744,0.86,0.07,0.95,0,1,0,8.9,1.56,2239
ppo,13x13,low,f3,2,low-f3,corner-phase2-low-f3-s2,7,corner,0,2950134,0.95,0.76,0.87,0.08,0.98,0,1,0,17.02,2.23,2552
