board,agent,magnitude,frequency,n_seeds,n_shifts,n_disrupted,recovery_mean,recovery_se,dip_mean,dip_se,worst_dip,adapt_cost_mean,adapt_cost_se,n_recovered,n_censored,mean_recovery_disrupted,mean_dip,mean_adapt_cost_ksteps
13x13,feudal,low,f1,3,6,4,5.0,3.01,0.2,0.03,0.37,57.27,7.25,4,0,7.5,0.2,57.27
13x13,feudal,low,f2,3,12,7,25.5,11.92,0.15,0.02,0.43,32.24,10.95,7,0,43.7,0.15,32.24
13x13,feudal,low,f3,3,30,14,32.4,16.11,0.14,0.02,0.33,21.0,5.82,14,0,69.4,0.14,21.0
13x13,feudal,med,f1,3,6,5,194.5,152.35,0.3,0.03,0.48,113.84,51.84,5,0,233.4,0.3,113.84
13x13,feudal,med,f2,3,12,6,9.42,7.92,0.24,0.03,0.56,88.12,17.78,6,0,18.8,0.24,88.12
13x13,feudal,med,f3,3,30,16,66.33,23.34,0.18,0.01,0.53,26.93,5.25,13,3,124.4,0.18,26.93
13x13,feudal,high,f1,3,6,5,159.83,158.33,0.4,0.09,0.53,283.77,55.95,5,0,191.8,0.4,283.77
13x13,feudal,high,f2,3,12,10,101.67,69.94,0.23,0.04,0.47,57.77,14.16,10,0,122.0,0.23,57.77
13x13,feudal,high,f3,3,30,21,49.57,33.81,0.18,0.02,0.47,19.06,3.95,21,0,70.8,0.18,19.06
13x13,ppo,low,f1,3,6,0,0.0,0.0,0.12,0.02,0.18,37.48,2.99,0,0,,0.12,37.48
13x13,ppo,low,f2,3,12,0,0.0,0.0,0.1,0.01,0.18,13.2,1.71,0,0,,0.1,13.2
13x13,ppo,low,f3,3,30,0,0.0,0.0,0.07,0.01,0.18,4.82,0.36,0,0,,0.07,4.82
13x13,ppo,med,f1,3,6,2,3.0,1.61,0.14,0.03,0.27,32.03,9.38,2,0,9.0,0.14,32.03
13x13,ppo,med,f2,3,12,2,1.5,0.8,0.1,0.01,0.27,12.76,3.35,2,0,9.0,0.1,12.76
13x13,ppo,med,f3,3,30,5,2.57,0.98,0.09,0.02,0.27,7.15,1.59,5,0,15.4,0.09,7.15
13x13,ppo,high,f1,3,6,2,67.33,65.34,0.19,0.03,0.43,29.81,9.35,2,0,202.0,0.19,29.81
13x13,ppo,high,f2,3,12,4,59.58,36.15,0.19,0.03,0.43,20.17,4.41,4,0,178.8,0.19,20.17
13x13,ppo,high,f3,3,30,7,15.9,14.41,0.12,0.02,0.43,8.19,1.55,7,0,68.1,0.12,8.19
9x9,feudal,low,f1,3,6,5,112.0,101.13,0.26,0.02,0.38,28.88,10.64,5,0,134.4,0.26,28.88
9x9,feudal,low,f2,3,12,9,91.33,44.26,0.21,0.03,0.38,13.44,7.76,9,0,121.8,0.21,13.44
9x9,feudal,low,f3,3,30,20,72.67,10.78,0.22,0.02,0.58,14.43,1.66,19,1,109.0,0.22,14.43
9x9,feudal,med,f1,3,6,6,645.67,430.4,0.39,0.03,0.65,76.68,28.33,6,0,645.7,0.39,76.68
9x9,feudal,med,f2,3,12,10,254.33,73.59,0.3,0.01,0.64,40.22,7.33,10,0,305.2,0.3,40.22
9x9,feudal,med,f3,3,30,20,46.83,21.86,0.2,0.02,0.41,10.48,1.7,20,0,70.2,0.2,10.48
9x9,feudal,high,f1,3,6,4,581.33,519.35,0.33,0.03,0.63,197.41,11.58,4,0,872.0,0.33,197.41
9x9,feudal,high,f2,3,12,7,384.42,223.63,0.28,0.01,0.63,67.92,5.06,7,0,659.0,0.28,67.92
9x9,feudal,high,f3,3,30,15,1113.87,301.83,0.28,0.01,0.69,36.05,1.81,7,8,2227.7,0.28,36.05
9x9,ppo,low,f1,3,6,1,10.33,10.33,0.09,0.02,0.23,5.14,0.58,1,0,62.0,0.09,5.14
9x9,ppo,low,f2,3,12,1,6.25,6.25,0.07,0.02,0.28,2.48,0.33,1,0,75.0,0.07,2.48
9x9,ppo,low,f3,3,30,0,0.0,0.0,0.04,0.01,0.11,0.92,0.13,0,0,,0.04,0.92
9x9,ppo,med,f1,3,6,2,29.5,28.51,0.15,0.04,0.35,19.99,0.69,2,0,88.5,0.15,19.99
9x9,ppo,med,f2,3,12,5,30.83,19.93,0.16,0.01,0.35,9.09,0.79,5,0,74.0,0.16,9.09
9x9,ppo,med,f3,3,30,3,6.0,5.65,0.08,0.01,0.35,3.07,0.19,3,0,60.0,0.08,3.07
9x9,ppo,high,f1,3,6,3,30.67,18.11,0.18,0.02,0.37,12.57,1.22,3,0,61.3,0.18,12.57
9x9,ppo,high,f2,3,12,4,16.67,8.1,0.14,0.01,0.37,5.43,0.69,4,0,50.0,0.14,5.43
9x9,ppo,high,f3,3,30,3,6.13,3.62,0.1,0.0,0.37,3.02,0.26,3,0,61.3,0.1,3.02
