board,agent,magnitude,frequency,seed,n_shifts,n_disrupted,recovery_games,mean_dip,worst_dip,adapt_cost_ksteps
13x13,feudal,low,f1,0,2,1,2.5,0.195,0.25,71.77
13x13,feudal,low,f1,1,2,1,1.5,0.16,0.26,50.27
13x13,feudal,low,f1,2,2,2,11.0,0.25,0.37,49.77
13x13,feudal,low,f2,0,4,3,45.5,0.202,0.24,24.94
13x13,feudal,low,f2,1,4,1,26.8,0.13,0.43,53.77
13x13,feudal,low,f2,2,4,3,4.2,0.13,0.2,18.02
13x13,feudal,low,f3,0,10,2,0.2,0.107,0.18,9.39
13x13,feudal,low,f3,1,10,6,49.5,0.162,0.33,26.07
13x13,feudal,low,f3,2,10,6,47.5,0.155,0.3,27.54
13x13,feudal,med,f1,0,2,1,3.0,0.33,0.48,198.27
13x13,feudal,med,f1,1,2,2,495.5,0.325,0.4,123.77
13x13,feudal,med,f1,2,2,2,85.0,0.25,0.29,19.49
13x13,feudal,med,f2,0,4,2,25.2,0.26,0.48,83.45
13x13,feudal,med,f2,1,4,2,1.5,0.282,0.56,120.98
13x13,feudal,med,f2,2,4,2,1.5,0.18,0.44,59.91
13x13,feudal,med,f3,0,10,6,19.7,0.169,0.47,20.49
13x13,feudal,med,f3,1,10,5,87.7,0.191,0.53,22.96
13x13,feudal,med,f3,2,10,5,91.6,0.17,0.51,37.34
13x13,feudal,high,f1,0,2,2,476.5,0.475,0.48,210.81
13x13,feudal,high,f1,1,2,1,0.5,0.225,0.43,246.78
13x13,feudal,high,f1,2,2,2,2.5,0.49,0.53,393.73
13x13,feudal,high,f2,0,4,3,238.2,0.23,0.47,71.12
13x13,feudal,high,f2,1,4,3,7.2,0.173,0.31,29.46
13x13,feudal,high,f2,2,4,4,59.5,0.295,0.42,72.72
13x13,feudal,high,f3,0,10,7,115.4,0.198,0.47,24.02
13x13,feudal,high,f3,1,10,9,30.0,0.203,0.29,21.92
13x13,feudal,high,f3,2,10,5,3.3,0.136,0.41,11.25
13x13,ppo,low,f1,0,2,0,0.0,0.085,0.12,31.69
13x13,ppo,low,f1,1,2,0,0.0,0.1,0.13,39.09
13x13,ppo,low,f1,2,2,0,0.0,0.165,0.18,41.65
13x13,ppo,low,f2,0,4,0,0.0,0.102,0.12,16.58
13x13,ppo,low,f2,1,4,0,0.0,0.08,0.13,11.95
13x13,ppo,low,f2,2,4,0,0.0,0.107,0.18,11.07
13x13,ppo,low,f3,0,10,0,0.0,0.069,0.12,4.46
13x13,ppo,low,f3,1,10,0,0.0,0.065,0.13,5.54
13x13,ppo,low,f3,2,10,0,0.0,0.086,0.18,4.45
13x13,ppo,med,f1,0,2,0,0.0,0.075,0.08,14.52
13x13,ppo,med,f1,1,2,1,3.5,0.18,0.27,46.59
13x13,ppo,med,f1,2,2,1,5.5,0.15,0.21,34.99
13x13,ppo,med,f2,0,4,0,0.0,0.077,0.11,7.25
13x13,ppo,med,f2,1,4,1,1.8,0.118,0.27,18.82
13x13,ppo,med,f2,2,4,1,2.8,0.113,0.21,12.19
13x13,ppo,med,f3,0,10,1,4.5,0.058,0.24,4.42
13x13,ppo,med,f3,1,10,2,1.9,0.083,0.27,7.1
13x13,ppo,med,f3,2,10,2,1.3,0.116,0.22,9.93
13x13,ppo,high,f1,0,2,0,0.0,0.175,0.19,31.64
13x13,ppo,high,f1,1,2,1,198.0,0.26,0.43,45.01
13x13,ppo,high,f1,2,2,1,4.0,0.145,0.21,12.77
13x13,ppo,high,f2,0,4,1,50.5,0.21,0.41,27.39
13x13,ppo,high,f2,1,4,2,126.2,0.23,0.43,20.94
13x13,ppo,high,f2,2,4,1,2.0,0.117,0.21,12.18
13x13,ppo,high,f3,0,10,1,0.5,0.096,0.24,6.12
13x13,ppo,high,f3,1,10,3,44.7,0.154,0.43,11.22
13x13,ppo,high,f3,2,10,3,2.5,0.12,0.29,7.23
9x9,feudal,low,f1,0,2,2,314.0,0.3,0.38,49.14
9x9,feudal,low,f1,1,2,1,2.0,0.235,0.3,13.08
9x9,feudal,low,f1,2,2,2,20.0,0.25,0.25,24.43
9x9,feudal,low,f2,0,4,4,169.2,0.272,0.38,28.87
9x9,feudal,low,f2,1,4,2,16.0,0.158,0.23,4.19
9x9,feudal,low,f2,2,4,3,88.8,0.193,0.28,7.26
9x9,feudal,low,f3,0,10,7,83.5,0.263,0.44,11.15
9x9,feudal,low,f3,1,10,6,51.1,0.184,0.58,15.72
9x9,feudal,low,f3,2,10,7,83.4,0.22,0.55,16.43
9x9,feudal,med,f1,0,2,2,406.0,0.37,0.49,107.65
9x9,feudal,med,f1,1,2,2,49.5,0.345,0.42,20.11
9x9,feudal,med,f1,2,2,2,1481.5,0.45,0.65,102.29
9x9,feudal,med,f2,0,4,3,243.8,0.278,0.49,39.37
9x9,feudal,med,f2,1,4,3,386.8,0.323,0.64,53.32
9x9,feudal,med,f2,2,4,4,132.5,0.295,0.35,27.98
9x9,feudal,med,f3,0,10,8,88.2,0.227,0.41,12.54
9x9,feudal,med,f3,1,10,5,38.4,0.161,0.33,7.1
9x9,feudal,med,f3,2,10,7,13.9,0.203,0.35,11.79
9x9,feudal,high,f1,0,2,2,1617.5,0.385,0.63,214.25
9x9,feudal,high,f1,1,2,1,0.5,0.3,0.59,175.22
9x9,feudal,high,f1,2,2,1,126.0,0.315,0.61,202.76
9x9,feudal,high,f2,0,4,3,831.2,0.275,0.63,57.8
9x9,feudal,high,f2,1,4,2,144.2,0.275,0.58,73.02
9x9,feudal,high,f2,2,4,2,177.8,0.298,0.61,72.95
9x9,feudal,high,f3,0,10,5,1717.5,0.295,0.64,39.17
9x9,feudal,high,f3,1,10,5,806.6,0.268,0.69,32.92
9x9,feudal,high,f3,2,10,5,817.5,0.282,0.67,36.06
9x9,ppo,low,f1,0,2,1,31.0,0.13,0.23,4.53
9x9,ppo,low,f1,1,2,0,0.0,0.045,0.06,4.6
9x9,ppo,low,f1,2,2,0,0.0,0.085,0.12,6.29
9x9,ppo,low,f2,0,4,0,0.0,0.055,0.09,1.85
9x9,ppo,low,f2,1,4,0,0.0,0.058,0.09,2.6
9x9,ppo,low,f2,2,4,1,18.8,0.107,0.28,2.98
9x9,ppo,low,f3,0,10,0,0.0,0.032,0.05,0.76
9x9,ppo,low,f3,1,10,0,0.0,0.04,0.08,0.82
9x9,ppo,low,f3,2,10,0,0.0,0.053,0.11,1.17
9x9,ppo,med,f1,0,2,1,2.0,0.12,0.22,18.75
9x9,ppo,med,f1,1,2,0,0.0,0.105,0.12,21.12
9x9,ppo,med,f1,2,2,1,86.5,0.22,0.35,20.09
9x9,ppo,med,f2,0,4,2,24.0,0.165,0.29,9.24
9x9,ppo,med,f2,1,4,1,0.2,0.128,0.2,7.65
9x9,ppo,med,f2,2,4,2,68.2,0.175,0.35,10.37
9x9,ppo,med,f3,0,10,1,0.4,0.091,0.22,2.88
9x9,ppo,med,f3,1,10,1,0.3,0.067,0.2,2.89
9x9,ppo,med,f3,2,10,1,17.3,0.089,0.35,3.45
9x9,ppo,high,f1,0,2,1,65.0,0.22,0.37,10.13
9x9,ppo,high,f1,1,2,1,23.5,0.175,0.25,13.61
9x9,ppo,high,f1,2,2,1,3.5,0.16,0.26,13.96
9x9,ppo,high,f2,0,4,1,32.5,0.153,0.37,4.32
9x9,ppo,high,f2,1,4,1,11.8,0.122,0.25,5.26
9x9,ppo,high,f2,2,4,2,5.8,0.145,0.26,6.7
9x9,ppo,high,f3,0,10,1,13.0,0.105,0.37,3.34
9x9,ppo,high,f3,1,10,1,4.7,0.103,0.25,3.22
9x9,ppo,high,f3,2,10,1,0.7,0.099,0.26,2.5
